Country,Gold,Silver,Bronze,Total,population,gdp_per_capita_usd,temperature,Sport,Sport_Gold,Sport_Silver,Sport_Bronze,Sport_Total,sport_dominance_pct,climate_zone
Norway,18,12,11,41,5640194,87497.2179649556,4.1832,Alpine Skiing,0,1,1,2,4.88,Cold
Norway,18,12,11,41,5640194,87497.2179649556,4.1832,Biathlon,3,5,3,11,26.83,Cold
Norway,18,12,11,41,5640194,87497.2179649556,4.1832,Cross-Country Skiing,7,2,5,14,34.15,Cold
Norway,18,12,11,41,5640194,87497.2179649556,4.1832,Freestyle Skiing,2,0,0,2,4.88,Cold
Norway,18,12,11,41,5640194,87497.2179649556,4.1832,Nordic Combined,3,0,0,3,7.32,Cold
Norway,18,12,11,41,5640194,87497.2179649556,4.1832,Ski Jumping,2,2,1,5,12.2,Cold
Norway,18,12,11,41,5640194,87497.2179649556,4.1832,Speed Skating,1,2,1,4,9.76,Cold
United States of America,12,12,9,33,345410175,81032.262117545,12.224,Alpine Skiing,2,1,1,4,12.12,Mild
United States of America,12,12,9,33,345410175,81032.262117545,12.224,Bobsleigh,1,0,2,3,9.09,Mild
United States of America,12,12,9,33,345410175,81032.262117545,12.224,Cross-Country Skiing,0,2,1,3,9.09,Mild
United States of America,12,12,9,33,345410175,81032.262117545,12.224,Curling,0,1,0,1,3.03,Mild
United States of America,12,12,9,33,345410175,81032.262117545,12.224,Figure Skating,2,1,0,3,9.09,Mild
United States of America,12,12,9,33,345410175,81032.262117545,12.224,Freestyle Skiing,3,4,1,8,24.24,Mild
United States of America,12,12,9,33,345410175,81032.262117545,12.224,Ice Hockey,2,0,0,2,6.06,Mild
United States of America,12,12,9,33,345410175,81032.262117545,12.224,Luge,0,0,1,1,3.03,Mild
United States of America,12,12,9,33,345410175,81032.262117545,12.224,Short Track Speed Skating,0,0,1,1,3.03,Mild
United States of America,12,12,9,33,345410175,81032.262117545,12.224,Snowboard,0,1,1,2,6.06,Mild
United States of America,12,12,9,33,345410175,81032.262117545,12.224,Speed Skating,2,2,1,5,15.15,Mild
Netherlands,10,7,3,20,18290019,63515.6030780019,11.175999999999998,Short Track Speed Skating,5,1,1,7,35.0,Mild
Netherlands,10,7,3,20,18290019,63515.6030780019,11.175999999999998,Speed Skating,5,6,2,13,65.0,Mild
Italy,10,6,14,30,58941446,39277.0838783918,13.134,Alpine Skiing,2,1,2,5,16.67,Mild
Italy,10,6,14,30,58941446,39277.0838783918,13.134,Biathlon,1,1,0,2,6.67,Mild
Italy,10,6,14,30,58941446,39277.0838783918,13.134,Cross-Country Skiing,0,0,2,2,6.67,Mild
Italy,10,6,14,30,58941446,39277.0838783918,13.134,Curling,0,0,1,1,3.33,Mild
Italy,10,6,14,30,58941446,39277.0838783918,13.134,Figure Skating,0,0,1,1,3.33,Mild
Italy,10,6,14,30,58941446,39277.0838783918,13.134,Freestyle Skiing,1,1,1,3,10.0,Mild
Italy,10,6,14,30,58941446,39277.0838783918,13.134,Luge,2,0,2,4,13.33,Mild
Italy,10,6,14,30,58941446,39277.0838783918,13.134,Short Track Speed Skating,1,2,1,4,13.33,Mild
Italy,10,6,14,30,58941446,39277.0838783918,13.134,Snowboard,0,1,2,3,10.0,Mild
Italy,10,6,14,30,58941446,39277.0838783918,13.134,Speed Skating,3,0,2,5,16.67,Mild
Germany,8,10,8,26,83570702,54776.7668235491,10.4072,Alpine Skiing,0,2,0,2,7.69,Mild
Germany,8,10,8,26,83570702,54776.7668235491,10.4072,Biathlon,0,0,1,1,3.85,Mild
